GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34027040101,Morris,4180,119135.0,3.18,8.97,4.69,15.38,12.96,16.44,5.96,74.21,2.03,11.9
34027040102,Morris,6721,118920.0,3.61,15.48,6.73,23.55,1.24,14.61,0.92,71.97,8.09,11.4
34027040200,Morris,6995,125765.0,5.16,7.73,5.38,14.92,1.31,12.74,0.0,83.67,2.03,7.9
34027040301,Morris,4168,103593.0,5.4,13.96,2.0,59.74,2.51,6.89,4.56,85.84,1.78,19.7
34027040302,Morris,4413,141790.0,5.82,13.53,3.99,23.36,1.14,8.34,0.0,86.63,1.72,10.9
34027040400,Morris,4084,96667.0,10.14,18.19,3.92,21.84,6.04,15.4,1.71,75.2,3.21,14.2
34027040500,Morris,3641,97917.0,15.98,25.95,5.99,13.6,7.79,25.02,0.99,63.94,7.64,16.2
34027040600,Morris,4431,116423.0,3.9,8.37,2.14,16.34,3.3,24.62,1.62,70.53,1.74,8.1
34027040701,Morris,5835,163281.0,2.9,4.35,3.22,16.47,0.42,4.32,0.14,88.38,5.33,6.3
34027040702,Morris,4136,191071.0,0.77,1.21,3.65,15.01,3.16,7.33,0.7,81.33,8.53,5.9
34027040801,Morris,4857,222426.0,2.02,4.47,1.28,15.94,2.42,5.85,0.0,76.96,15.67,6.3
34027040803,Morris,7348,159722.0,5.76,7.4,3.47,20.32,1.09,3.4,1.92,66.25,23.73,8.8
34027040804,Morris,3889,171989.0,2.11,6.75,2.37,26.02,11.22,6.61,1.41,56.42,31.09,12.6
34027040805,Morris,6327,179250.0,1.96,6.54,1.12,23.74,2.83,8.33,1.66,69.16,19.82,8.7
34027040900,Morris,4392,186964.0,1.07,1.75,2.66,20.29,1.93,5.05,1.34,90.3,3.21,6.7
34027041000,Morris,4982,91023.0,7.36,14.95,5.55,15.27,0.98,10.7,5.84,73.69,3.85,9.8
34027041100,Morris,3821,109539.0,7.69,24.32,8.27,15.6,3.15,20.41,6.39,59.09,9.19,13.2
34027041200,Morris,4535,250001.0,1.32,4.74,0.53,11.44,0.78,3.59,0.0,78.02,13.25,4.4
34027041300,Morris,4983,170313.0,5.17,7.23,2.54,24.62,0.0,4.52,0.14,81.4,8.99,9.0
34027041400,Morris,6032,129976.0,0.73,5.97,5.0,18.25,1.92,6.25,1.71,87.81,2.47,7.4
34027041500,Morris,6095,188694.0,3.15,7.99,5.5,13.4,2.88,11.68,3.15,66.22,12.7,7.7
34027041602,Morris,2835,113625.0,1.8,7.9,0.88,15.87,0.0,5.57,1.98,66.24,19.22,6.0
34027041603,Morris,3597,92096.0,6.92,17.74,4.92,25.49,14.3,9.06,0.7,43.23,43.51,17.4
34027041604,Morris,5306,164125.0,1.06,2.43,0.41,15.27,5.16,9.74,1.88,54.82,24.63,6.3
34027041605,Morris,4566,179500.0,6.55,11.54,2.35,18.86,3.11,9.88,3.7,52.8,30.14,9.9
34027041606,Morris,4095,119250.0,2.15,6.96,1.15,20.27,3.93,10.06,1.83,44.49,41.81,8.4
34027041701,Morris,6711,101173.0,1.92,9.6,3.55,16.55,10.08,6.41,1.1,48.0,40.71,10.7
34027041702,Morris,3220,93400.0,4.6,11.3,3.85,18.23,10.42,16.77,4.01,54.69,21.77,12.3
34027041704,Morris,5249,102250.0,4.29,13.83,3.73,15.15,8.09,8.06,4.17,43.04,39.34,11.1
34027041705,Morris,1587,80938.0,22.53,27.97,1.64,35.98,36.51,2.9,1.89,51.61,40.2,33.1
34027041706,Morris,5749,98613.0,5.69,11.03,3.43,14.32,9.5,8.51,9.27,46.6,35.62,11.1
34027041801,Morris,2637,105438.0,4.21,7.85,5.46,12.21,6.1,4.66,3.91,37.47,52.86,8.8
34027041802,Morris,5337,114722.0,3.99,16.6,4.98,22.26,7.71,13.42,0.24,34.42,50.12,13.4
34027041803,Morris,5183,180618.0,4.18,5.23,1.41,19.83,3.18,3.42,0.69,45.07,48.52,8.2
